partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
12200391 , 1220-0391 , STANDARD , M420 - Standard Chain - 72 Links , Each , RK , M420-72 ,  , 5.03 , 4.88 , 8.38 , 8.38 , http://asset.lemansnet.com/z/LzIvMy9GLzIzRkE4RTgxLUQwRUEtNDgxRS1CNTc3LTlEQjhBRUY3MkZDOA== , 2112761936 , Standard (M) M420 Chain , http://asset.lemansnet.com/z/LzIvMy9GLzIzRkE4RTgxLUQwRUEtNDgxRS1CNTc3LTlEQjhBRUY3MkZDOA== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Two-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12200401 , 1220-0401 , STANDARD , M420 - Standard Chain - 136 Links , Each , RK , M420-136 ,  , 9.5 , 9.22 , 15.83 , 15.83 , http://asset.lemansnet.com/z/LzIvMy9GLzIzRkE4RTgxLUQwRUEtNDgxRS1CNTc3LTlEQjhBRUY3MkZDOA== , 2112761936 , Standard (M) M420 Chain , http://asset.lemansnet.com/z/LzIvMy9GLzIzRkE4RTgxLUQwRUEtNDgxRS1CNTc3LTlEQjhBRUY3MkZDOA== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Two-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
RKM420130 , RKM420130 , STANDARD , M420 - Standard Chain - 130 Links , Each , RK , M420-130 ,  , 9.07 , 8.8 , 15.12 , 15.12 , http://asset.lemansnet.com/z/LzIvMy9GLzIzRkE4RTgxLUQwRUEtNDgxRS1CNTc3LTlEQjhBRUY3MkZDOA== , 2112761936 , Standard (M) M420 Chain , http://asset.lemansnet.com/z/LzIvMy9GLzIzRkE4RTgxLUQwRUEtNDgxRS1CNTc3LTlEQjhBRUY3MkZDOA== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Two-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
RKM520104 , RKM520104 , STANDARD , M520 - Standard Chain - 104 Links , Each , RK , M520-104 ,  , 14.02 , 13.6 , 23.37 , 26.16 , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , 1939610811 , Standard (M) M520 Chain , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Four-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
RKM520110 , RKM520110 , STANDARD , M520 - Standard Chain - 110 Links , Each , RK , M520-110 ,  , 14.83 , 14.39 , 24.72 , 27.95 , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , 1939610811 , Standard (M) M520 Chain , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Four-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
RKM520112 , RKM520112 , STANDARD , M520 - Standard Chain - 112 Links , Each , RK , M520-112 ,  , 15.09 , 14.64 , 25.15 , 28.16 , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , 1939610811 , Standard (M) M520 Chain , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Four-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
RKM520116 , RKM520116 , STANDARD , M520 - Standard Chain - 116 Links , Each , RK , M520-116 ,  , 15.63 , 15.16 , 26.05 , 29.17 , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , 1939610811 , Standard (M) M520 Chain , http://asset.lemansnet.com/z/L0EvMi8yL0EyMkVFNzIzLTZCQ0QtNDhCOS04QUM2LUE5QkFFMjcwMjY4NQ== , Heat-treated medium carbon alloy steel construction , All components heat-treated and shot-peened for maximum strength , Four-point pin riveting and solid rollers , Chains include clip connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231188 , 1223-1188 , STANDARD , GB 530 GXW - Chain - 150 Links , Each , RK , GB530GXW-150 ,  , 139.24 , 135.06 , 232.07 , 232.07 , http://asset.lemansnet.com/z/LzYvQy9BLzZDQTg3RjFCLUExQUYtNEJEMS04Mzc5LTJDQjc4RjVEMDQyQg== , 1527520875 , GB 530 GXW Chain , http://asset.lemansnet.com/z/LzYvQy9BLzZDQTg3RjFCLUExQUYtNEJEMS04Mzc5LTJDQjc4RjVEMDQyQg== , Advanced design XW-ring provides better sealing to extend wear life up to 100 percent , XW-ring chains are the best high-speed extreme heat performance chains available today ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231189 , 1223-1189 , STANDARD , GB 530 GXW - Chain - 160 Links , Each , RK , GB530GXW-160 ,  , 148.51 , 144.06 , 247.52 , 247.52 , http://asset.lemansnet.com/z/LzYvQy9BLzZDQTg3RjFCLUExQUYtNEJEMS04Mzc5LTJDQjc4RjVEMDQyQg== , 1527520875 , GB 530 GXW Chain , http://asset.lemansnet.com/z/LzYvQy9BLzZDQTg3RjFCLUExQUYtNEJEMS04Mzc5LTJDQjc4RjVEMDQyQg== , Advanced design XW-ring provides better sealing to extend wear life up to 100 percent , XW-ring chains are the best high-speed extreme heat performance chains available today ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231190 , 1223-1190 , STANDARD , GB 530 GXW - Chain - 170 Links , Each , RK , GB530GXW-170 ,  , 157.8 , 153.07 , 263 , 263 , http://asset.lemansnet.com/z/LzYvQy9BLzZDQTg3RjFCLUExQUYtNEJEMS04Mzc5LTJDQjc4RjVEMDQyQg== , 1527520875 , GB 530 GXW Chain , http://asset.lemansnet.com/z/LzYvQy9BLzZDQTg3RjFCLUExQUYtNEJEMS04Mzc5LTJDQjc4RjVEMDQyQg== , Advanced design XW-ring provides better sealing to extend wear life up to 100 percent , XW-ring chains are the best high-speed extreme heat performance chains available today ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
